source,row,stage,kind,cohort,task,engine,model,repeat,success,task_ms,setup_ms,routing_ms,driver_ms,primary_ms,jev_ms,primary_calls,jev_calls,known_usd,primary_cost_unknown,state,end_reason,error
docs/benchmarks/jev-2026-09-17.json,74,historical,final,historical/final,disclosure,classic,gpt-5.6-sol,2,True,12047.355446999893,193.06470400001854,,,11979.33119099983,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,75,historical,final,historical/final,disclosure,classic,gpt-5.6-sol,3,True,9839.705667000031,189.92601099982858,,,9774.872335000196,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,76,historical,final,historical/final,disclosure,jev-hybrid,gpt-5.6-sol,3,True,9816.136850999901,188.4608630000148,,,9760.235901999986,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,77,historical,final,historical/final,disclosure,jev-hybrid,gpt-5.6-sol,4,True,11897.708399000112,191.40963200014085,,,11834.211980999913,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,78,historical,final,historical/final,disclosure,classic,gpt-5.6-sol,4,True,10749.008323000045,184.63624899997376,,,10687.078176000156,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,79,historical,final,historical/final,disclosure,classic,gpt-5.6-sol,5,True,9488.753631999949,186.08447199990042,,,9425.032473000232,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,80,historical,final,historical/final,disclosure,jev-hybrid,gpt-5.6-sol,5,True,10617.071766000008,188.0298279998824,,,10549.087065000087,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-driver-2026-09-17.json,1,historical,driver,historical/driver,search,,,,True,,,,1568.2773349999998,,,,,0.00013629,,,,
docs/benchmarks/jev-driver-2026-09-17.json,2,historical,driver,historical/driver,filters,,,,True,,,,1345.459581,,,,,0.00022722,,,,
docs/benchmarks/jev-driver-2026-09-17.json,3,historical,driver,historical/driver,autocomplete,,,,True,,,,1554.2393479999992,,,,,0.00016905000000000002,,,,
docs/benchmarks/jev-driver-2026-09-17.json,4,historical,driver,historical/driver,form,,,,True,,,,1474.4958740000002,,,,,0.00025342800000000004,,,,
docs/benchmarks/jev-driver-2026-09-17.json,5,historical,driver,historical/driver,navigation,,,,False,,,,714.4749869999996,,,,,0.000075474,,,,
docs/benchmarks/jev-driver-2026-09-17.json,6,historical,driver,historical/driver,tabs,,,,True,,,,1028.7905960000007,,,,,0.000070644,,,,
docs/benchmarks/jev-driver-2026-09-17.json,7,historical,driver,historical/driver,scroll,,,,True,,,,1716.965327,,,,,0.000196056,,,,
docs/benchmarks/jev-driver-2026-09-17.json,8,historical,driver,historical/driver,disclosure,,,,True,,,,624.8986100000002,,,,,0.000075852,,,,
docs/benchmarks/jev-first-comparison-2026-09-17.json,1,historical,final,historical/final,search,classic,gpt-5.6-sol,1,True,18731.154734,194.816468,,,18638.545932,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,2,historical,final,historical/final,search,jev-first,gpt-5.6-sol,1,True,23491.885283,188.7163150000015,,,22227.044111,1145.0158440000014,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,3,historical,final,historical/final,search,jev-first,gpt-5.6-luna,1,True,20512.144065,184.70149899999524,,,18274.85721400001,2125.9177710000004,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,4,historical,final,historical/final,search,jev-first,gpt-5.6-sol,2,True,22387.554252,194.7739850000071,,,19952.959764000014,2326.337962999998,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,5,historical,final,historical/final,search,jev-first,gpt-5.6-luna,2,True,9470.685404000003,196.17773399999714,,,7445.586544999998,1929.2278730000107,2,3,0.000166152,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,6,historical,final,historical/final,search,classic,gpt-5.6-sol,2,True,16561.166757,188.86929200000304,,,16484.487681000013,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,7,historical,final,historical/final,search,jev-first,gpt-5.6-luna,3,True,8840.18245600001,184.47170899999037,,,7206.6734720000095,1533.2324729999964,2,3,0.000161616,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,8,historical,final,historical/final,search,classic,gpt-5.6-sol,3,True,16412.143477000005,179.2034999999887,,,16327.54476600005,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,9,historical,final,historical/final,search,jev-first,gpt-5.6-sol,3,True,9113.383013999992,182.84885599999689,,,7375.317945999996,1630.3738920000033,2,3,0.00017203200000000002,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,10,historical,final,historical/final,filters,jev-first,gpt-5.6-sol,1,True,17649.147585,186.13245299999835,,,16057.86471699999,1472.7050939999754,4,3,0.000201054,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,11,historical,final,historical/final,filters,jev-first,gpt-5.6-luna,1,True,11829.792128000001,192.74629799998365,,,9447.860925999994,2259.3851720000384,3,4,0.00026300400000000006,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,12,historical,final,historical/final,filters,classic,gpt-5.6-sol,1,True,22719.545268999995,192.81778299997677,,,22608.203247999976,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,13,historical,final,historical/final,filters,jev-first,gpt-5.6-luna,2,True,8341.729116000002,189.52502500000992,,,6449.8974449999805,1774.6209949999757,2,4,0.00026250000000000004,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,14,historical,final,historical/final,filters,classic,gpt-5.6-sol,2,True,20130.766632999992,193.70371500001056,,,20031.36566400001,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-first-comparison-2026-09-17.json,15,historical,final,historical/final,filters,jev-first,gpt-5.6-sol,2,True,12550.096198999992,181.38913900000625,,,10650.706026,1764.3156629999867,2,4,0.000266532,True,completed,final_answer,
